index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by
12,405-5513694-8146768,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-XS,kurta,XS,B081XCMYXJ,Shipped,1,INR,399,Amravati.,MAHARASHTRA,444606,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG;Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE;Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM;Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42;Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4;Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,FALSE,Easy Ship
13,408-7955685-3083534,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET182,SET182-KR-DH-XS,Set,XS,B085HS947T,Shipped,1,INR,657,MUMBAI,MAHARASHTRA,400053,IN,,FALSE,
14,408-1298370-1920302,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0351,J0351-SET-L,Set,L,B09CSSQY4F,Shipped,1,INR,771,MUMBAI,MAHARASHTRA,400053,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62;Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG;Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE;Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM;Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42;Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4;Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY;Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4;Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS;Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292,FALSE,Easy Ship
15,403-4965581-9520319,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,PJNE3368,PJNE3368-KR-6XL,kurta,6XL,B09PY99SVJ,Shipped,1,INR,544,GUNTAKAL,ANDHRA PRADESH,515801,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62;Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG;Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE;Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM;Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42;Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4;Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,FALSE,Easy Ship
16,406-9379318-6555504,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3721,JNE3721-KR-XXL,kurta,XXL,B099FCT65D,Shipped,1,INR,329,JAIPUR,RAJASTHAN,302020,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,
17,405-9013803-8009918,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XL,kurta,XL,B081WT6GG7,Shipped,1,INR,399,NEW DELHI,DELHI,110074,IN,,FALSE,
18,402-4030358-5835511,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3697,JNE3697-KR-XXL,kurta,XXL,B098133PV5,Shipped,1,INR,458,Gurgaon,HARYANA,122004,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62;Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG;Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE;Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM;Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42;Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4;Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4;Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292,FALSE,Easy Ship
19,405-5957858-1051546,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET254,SET254-KR-NP-XS,Set,XS,B0983DDPL6,Shipped,1,INR,886,BENGALURU,KARNATAKA,560017,IN,,FALSE,
20,405-0607769-0716360,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3795,JNE3795-KR-XXXL,kurta,3XL,B09HMXJVFS,Shipped,1,INR,517,TIRUCHIRAPPALLI,TAMIL NADU,620018,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,
21,404-8494550-5860325,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-M,Set,M,B09KXV4BN8,Shipped,1,INR,666,BENGALURU,KARNATAKA,560040,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,
22,171-1305077-2813934,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-L,kurta,L,B082W7GVH7,Shipped,1,INR,376,HYDERABAD,TELANGANA,500072,IN,,FALSE,
23,404-6019946-2909948,4/30/2022,Cancelled,Merchant,Amazon.in,Standard,SET291,SET291-KR-PP-M,Set,M,B099NK55YG,,0,INR,570.48,pune,MAHARASHTRA,411044,IN,,FALSE,Easy Ship
24,402-3384087-4005164,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,MEN5002,MEN5002-KR-L,kurta,L,B08YYYDN9R,Shipped,1,INR,499,TEZPUR,ASSAM,784001,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,
25,405-8191138-5176316,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW030,NW030-TP-PJ-XS,Set,XS,B09G2RQSRZ,Shipped,1,INR,582,RANCHI,JHARKHAND,834002,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4;Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO;Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62;Amazon PLCC Free-Financing Universal Merchant AAT-XVPICCHRWDCAI;Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG;Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE;Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM;Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42;Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4;Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,FALSE,Easy Ship
26,403-9230474-9657916,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3415,JNE3415-KR-XXXL,kurta,3XL,B082W8JXJ9,Shipped,1,INR,299,BILASPUR,CHHATTISGARH,495001,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG;Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE;Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM;Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42;Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4;Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,FALSE,Easy Ship
27,408-3484251-6901959,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,PJNE2199,PJNE2199-KR-N-4XL,kurta,4XL,B09LD2W9XL,Shipped,1,INR,459,PUNE,MAHARASHTRA,411052,IN,,FALSE,
28,405-7755803-4729935,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-M,kurta,M,B08KRXV1QR,Shipped,1,INR,399,BENGALURU,KARNATAKA,560037,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,
29,404-5933402-8801952,4/30/2022,Cancelled,Merchant,Amazon.in,Standard,JNE2132,JNE2132-KR-398-XXXL,kurta,3XL,B07JG3CND8,,0,,,GUWAHATI,ASSAM,781003,IN,,FALSE,Easy Ship
30,171-9040274-9291563,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-S,Western Dress,S,B099NR7612,Shipped,1,INR,791,THIRUVARUR,TAMIL NADU,613704,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,
31,403-7056319-0979561,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,MEN5009,MEN5009-KR-XL,kurta,XL,B08YYTCPYX,Shipped,1,INR,499,LUCKNOW,UTTAR PRADESH,226010,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,
32,404-9632124-1107550,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0011,J0011-LCD-M,Set,M,B08B3YNJG5,Shipped,1,INR,1233,VISAKHAPATNAM,ANDHRA PRADESH,530016,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4;Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO;Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62;Amazon PLCC Free-Financing Universal Merchant AAT-XVPICCHRWDCAI;Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG;Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE;Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM;Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42;Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4;Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,FALSE,Easy Ship
33,402-1465437-0579556,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3766,JNE3766-KR-M,kurta,M,B09K3XR43V,Shipped,1,INR,517,JEYPUR,ODISHA,764001,IN,Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC;Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2;Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2;Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ;Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76;Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C;Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4;Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I;Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62;Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG;Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE;Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM;Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42;Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4;Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY;Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO;Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO;Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC;Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811;Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,FALSE,Easy Ship
34,404-7774085-3780319,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XL,kurta,XL,B082W8BXW1,Shipped,1,INR,376,HYDERABAD,TELANGANA,500028,IN,,FALSE,
